Assesment Name,cleaned_text,Duration,Remote Testing Support,URL,Adaptive/IRT,Job Type
Account Manager Solution,Middle Account Manager solution assessment job candidate apply mid level leadership position tend manage day day operation activity client account sample task job include limit communicate client project status develop maintain project plan coordinate internally appropriate project personnel ensure client expectation meet potential job title use solution Account Executive Account Manager Senior Account Manager multiple configuration solution available,49,yes,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,yes,Middle
Administrative Professional-Short Form,entry Administrative Professional solution entry mid level position involve routine clerical administrative function addition office management function customer service sample task job include limit arrange conference call draft correspondence scheduling meeting greet visitor coordinate office activity potential job title use solution Administrative Assistant Secretary Office Manager Administrative Aide Administrative Associate,36,yes,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,yes,Entry
Agency Manager Solution,Manager Agency Manager solution mid level sale management position include line management sale responsibility sample task job include limit direct coordinate financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution Agency Manager Brokerage Manager multiple configuration solution available,51,yes,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,yes,Manager
Apprentice + 8.0 Job Focused Assessment,entry Apprentice + Job Focused Assessment short targeted globally applicable assessment include short cognitive ability measure assessment design entry level position appropriate country industry use apprenticeship model intend multi nationally organisation business span region,30,yes,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,no,Entry
Apprentice 8.0 Job Focused Assessment,entry Apprentice Job Focused Assessment short targeted globally applicable assessment assessment design entry level position appropriate country industry use apprenticeship model intend multi nationally organization business span region,20,yes,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,no,Entry
Bank Administrative Assistant - Short Form,entry Administrative Assistant solution entry level clerical position interact external internal customer sample task job include limit answer telephone manage file record sort mail greet customer collaborate co worker project potential job title use solution Receptionist Administrative Assistant multiple configuration solution available,35,yes,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,no,Entry
Bank Collections Agent - Short Form,entry solution entry level collection position inbound outbound center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available,45,yes,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,no,Entry
Bank Operations Supervisor - Short Form,Manager Bank Operations Supervisor solution job candidate apply entry level leadership position tend supervise hourly employee sample task job include limit planning prepare work schedule assign employee specific duty coach employee attendance conduct schedule adherence work task develop employee skill train subordinate prioritize multiple task priority make day day decision minimal guidance potential job title use solution Team Leader Line Supervisor Processing Supervisor Center Supervisor Customer Service Supervisor multiple configuration version solution available,45,yes,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,yes,Manager
Bilingual Spanish Reservation Agent Solution,entry Bilingual Reservation Agent solution design customer center entry level position hospitality industry sample task include make update cancel hotel reservation English spanish listen customer speak spanish enter information computer English provide information hotel service offer potential job title use solution Bilingual Reservation Agent Customer Service Representative Reservationist multiple configuration solution available,43,yes,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,yes,Entry
"Bookkeeping, Accounting, Auditing Clerk Short Form",entry Bookkeeping Accounting Auditing Clerk solution entry level position involve enter numerical datum computer system maintain financial record sample task job include limit enter financial datum computer check financial record accuracy perform routine computation financial datum potential job title use solution Accounting Clerk Bookkeeper Accounting Associate Auditing Clerk Accounts Receivable Clerk,49,yes,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,yes,Entry
Branch Manager - Short Form,Manager solution mid upper level financial institution managerial position candidate answer series multiple choice question measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership branch manager judgment multiple configuration version solution available,50,yes,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,no,Manager
